"","cc","mz","rt","i"
"1",1,101.096279372773,2182.155,14444.5938173623
"2",2,101.096338491534,2227.54,18668.7422044635
"3",3,101.096439273239,2258.055,17612.5371877443
"4",4,101.09641648923,2280.31,32333.0157979329
"5",5,102.045463366336,82.5735,6732.4721985888
"6",6,102.054103425913,87.892,81384.7082491593
"7",7,102.127778578703,2592.9,1432847.10519104
"8",8,102.127571684142,1660.88,229136.605787069
"9",9,102.127585477739,1685.635,277718.670167081
"10",10,102.12780434098,2542.89,3008564.46361795
"11",11,102.127611804474,1635.105,435280.213614216
"12",12,102.127624605755,1546.465,400579.834032632
"13",13,102.127641101758,1522.74,552555.957644
"14",14,102.127645112701,1353.415,383323.584445098
"15",15,102.127601752747,1714.64,286995.773250996
"16",16,102.127660373551,1839.925,884142.439108173
"17",17,102.127592873479,1446.565,377654.223613799
"18",18,102.127684687759,1326.275,151818.450195312
"19",19,102.127708340334,1857.68,575988.439083172
"20",20,102.127691297526,1916.325,454592.569091797
"21",21,102.127687224749,1952.96,1773515.13780174
"22",22,102.127622381704,1263.13,317610.295776854
"23",23,102.127617717513,1415.57,583519.98435743
"24",24,102.127642889651,1881.94,1187582.28031956
"25",25,102.127744044583,2308.56,1569012.33524753
"26",26,102.127573075459,1588.485,270145.785086
"27",27,102.127538810867,1570.26,263399.192010578
"28",28,102.127648619316,1466.56,553563.081392918
"29",29,102.127749434652,2384.09,1070477.01855469
"30",30,102.127586642464,1611.86,242353.374186198
"31",31,102.127747278458,2016.23,871939.460286458
"32",32,102.127758342486,2485.745,1229872.42447917
"33",33,102.127771903654,2222.54,1178246.24076677
"34",34,102.127611069565,1377.81,366588.76194146
"35",35,102.127695542834,2199.285,777025.133777715
"36",36,102.127760265939,2359.59,942015.407878461
"37",37,102.127771470146,2078.01,105831.749348958
"38",38,102.127761752144,2251.81,1111222.42659668
"39",39,102.127771087601,2150.145,1223119.29843553
"40",40,102.127737275333,2336.95,1286811.22547859
"41",41,102.127744730489,2289.44,1391575.57555967
"42",42,102.127627111648,1208.685,259801.158953837
"43",43,102.127715581206,2123.01,984395.985550389
"44",44,102.127722516681,2036.74,1096161.71858437
"45",45,102.127738982476,2099.005,751007.843658862
"46",46,102.212944038437,1786.41,6253.41035840788
"47",47,102.213030204807,1839.175,10560.3016166687
"48",48,102.213018352834,1815.16,6723.54630943835
"49",49,102.212918718797,1856.18,13595.292522036
"50",50,103.054360742141,959.7965,3647.18097657458
"51",51,103.054233072523,1848.68,20551.1564129077
"52",52,103.076802914655,79.1765,2262.80970289094
"53",53,104.063635175793,959.667,5707.79887157416
"54",54,104.107071434477,98.1935,695621.401053471
"55",55,104.107154454616,2578.4,50087.9775422366
"56",56,104.193514530772,103.764,3464.058515587
"57",57,104.992312184318,92.6065,44361.0207857744
"58",58,104.992328882003,2566.015,448638.565503365
"59",59,105.028320692461,2574.025,466352.697097587
"60",60,105.036795201145,83.7815,14106.3351663931
"61",61,105.064535160225,87.5615,6124.52633314741
"62",62,105.070334607551,835.1405,5967.10897847672
"63",63,105.091426701012,82.695,2125.8641211171
"64",64,105.109575029632,99.028,33207.2639608955
"65",65,106.068365129958,87.9135,178030.928892585
"66",66,106.131989244707,118.67,15604.0199358368
"67",67,106.155140192557,87.925,2786.29116433032
"68",68,107.049278469191,1848.675,1099755.61334994
"69",69,107.049086354578,1737.155,123680.676971436
"70",70,107.049332712113,722.7245,21108.3501018287
"71",71,107.049678592784,1158.23,8395.01819254866
"72",72,107.04972432404,1324.655,13155.7571059755
"73",74,107.08524224787,959.545,28007.3131123204
"74",75,107.136438535215,1737.275,1473.13129043579
"75",76,108.052580714452,1848.675,88880.4550999582
"76",77,108.05325742312,1737.41,8046.51030952143
"77",78,108.083633047586,89.92,2554.13130553065
"78",79,108.945068802859,100.666,4506.53743150568
"79",80,109.028788434606,85.092,5745.04448600993
"80",81,109.101007660593,1344.28,73208.0107518838
"81",82,109.101095461319,1431.435,153861.090128581
"82",83,109.189914619614,1431.435,2267.36982599894
"83",84,110.104180082493,1431.56,13913.6153536041
"84",85,111.116534956829,1431.31,119415.236784635
"85",87,111.206371881715,1431.56,1308.62296151908
"86",88,112.052408406423,96.664,29025.7341779934
"87",89,112.119622017368,1431.8,8903.93676446711
"88",90,112.895697773729,92.156,68348.5119761979
"89",91,113.036044745801,98.528,8643.79174996486
"90",92,113.132066946504,1431.56,10972.9308902099
"91",94,113.163492124921,98.9545,22197.1089314699
"92",95,114.049204947984,98.265,53483.4802896882
"93",96,114.055354022799,85.304,8429.3508142135
"94",97,114.091295862514,104.444,165178.238966352
"95",98,114.091252950844,171.9345,579784.79497982
"96",99,114.090867882523,271.467,18889.9445058699
"97",100,114.091119929613,295.609,29944.2591772425
"98",101,114.181544634655,172.8075,12134.7103464416
"99",102,114.893103062613,92.156,33315.1269501543
"100",103,115.056528523544,86.663,10218.3189506246
"101",104,115.093832682585,172.061,43380.4235903208
"102",105,116.034476441697,83.4065,17878.3067701449
"103",106,116.065726945495,86.968,16409.4436037411
"104",107,116.143314823055,1661.37,584640.39632033
"105",108,116.143623483994,1918.7,3868180.55798735
"106",109,116.143462144522,1858.43,1047408.94260699
"107",110,116.143751302001,2542.13,13629685.920528
"108",111,116.143341126724,1412.84,1292008.62098447
"109",112,116.143724686347,2307.07,5150924.66023894
"110",113,116.143757202705,1950.72,4066139.97052969
"111",114,116.143667544134,2588.775,8391120.90506083
